date,value__sum_values_chalco_price_2_weeks,value__index_mass_quantile__q_0.4_usa_inflation_value_26_weeks,value__absolute_maximum_usd_to_rub_2_weeks,value__time_reversal_asymmetry_statistic__lag_3_brazil_pmi_26_weeks,"value__fft_aggregated__aggtype_""centroid""_log10_norsk_hydro_volume_12_weeks",value__c3__lag_3_norsk_hydro_price_12_weeks,value__time_reversal_asymmetry_statistic__lag_2_export_australia_value_26_weeks,target
2020-10-25,3.354285714285714,0.3846153846153846,77.75455714285714,20225.70495510205,0.0633251967259328,19559.262614737665,-734618.4600798358,1959.9115646258504
2020-11-01,3.4389285714285713,0.3461538461538461,77.5235857142857,25459.936310204088,0.0587149773981699,19416.647910073505,-248059.8331943605,1985.2244897959183
2020-11-08,3.465,0.3076923076923077,78.05875714285715,31387.018362244904,0.0617560961659244,19284.668618734253,144324.02331425546,2028.8265306122448
2020-11-15,3.480357142857143,0.3076923076923077,78.6907142857143,36575.8299244898,0.0562527617092944,19168.272958619986,63263.73898453477,2028.71768707483
2020-11-22,3.811428571428572,0.2692307692307692,78.6907142857143,40602.68748265307,0.0691820585068899,19555.544461762325,-74527.5581846343,2038.78231292517
2020-11-29,4.2457142857142856,0.3461538461538461,77.07251428571429,42440.84917244899,0.0530428452639644,20257.66599351387,-239498.1973770232,2025.928571428571
2020-12-06,4.945714285714286,0.3846153846153846,76.3081,44101.12854387757,0.0677949721751207,21688.284852053148,-416825.8614158737,2003.2244897959183
2020-12-13,5.662857142857144,0.3846153846153846,75.80784285714286,44796.052927551034,0.0407730233993475,23834.797113759832,-167056.1927376612,2019.428571428571
2020-12-20,5.744285714285715,0.3846153846153846,75.1615,45332.81449183675,0.0388517883505144,26644.949442853045,476801.2406837404,2013.7278911564624
2020-12-27,5.642857142857142,0.4230769230769231,73.45067142857144,45786.26740714286,0.0472932939326441,30338.966668133708,1081467.9409111678,1985.5136054421769
2021-01-03,5.558571428571429,0.4230769230769231,74.4419857142857,43950.16300714287,0.0768685113328647,34559.04500161352,1625112.2144273086,1997.751700680272
2021-01-10,5.479285714285714,0.3846153846153846,74.4419857142857,42089.86249285715,0.0730761421813945,39403.41759271764,1920972.201589652,1982.469387755102
2021-01-17,5.696428571428571,0.3846153846153846,74.12614285714287,39413.261092857145,0.0708555420311723,44834.13777740878,1815543.6258302089,2040.108843537415
2021-01-24,5.748571428571428,0.3461538461538461,74.10407142857142,35492.759763265305,0.0667221083061223,49828.04905374852,1712672.693690427,2098.4319727891157
2021-01-31,5.488571428571428,0.3076923076923077,73.97242857142858,29925.302708163257,0.0711618790196879,54277.55505398576,1508393.385403079,2157.214285714286
2021-02-07,5.178571428571428,0.3076923076923077,75.60534285714286,23841.551708163257,0.0698534249077044,57707.77573273308,1274481.1864934398,2168.0748299319725
2021-02-14,4.981428571428571,0.2692307692307692,75.67255714285714,19979.60889999999,0.0862693148918251,60605.09355694562,1649486.7205514803,2174.1292517006805
2021-02-21,5.218,0.2692307692307692,75.67255714285714,15970.04670408162,0.0660611007829176,62703.08846934376,2139009.463180305,2208.448979591837
2021-02-28,5.87,0.2692307692307692,73.96042857142857,12218.13251632652,0.0740784272547164,63744.23656859211,2558623.7349017407,2256.4319727891157
2021-03-07,6.992,0.3076923076923077,74.30879285714286,6814.276287755088,0.0900454941742274,66113.6300466484,2949614.613133864,2253.2687074829932
2021-03-14,7.6971428571428575,0.3076923076923077,74.33411071428573,2100.090329591828,0.0905136140370278,68999.30309947205,2855930.56227266,2253.506802721088
2021-03-21,7.822857142857143,0.3076923076923077,74.33411071428573,-3077.773348979601,0.0951609779245825,72234.04996082826,2392305.949840981,2286.9319727891157
2021-03-28,7.908571428571429,0.3076923076923077,73.71832500000001,-7611.775675510212,0.0621602253474621,77547.50956352074,1938851.714217238,2335.6632653061224
2021-04-04,7.328571428571429,0.3461538461538461,75.7201,-12018.947752040824,0.0556833181700406,83513.1487703093,1491400.4020553755,2389.6938775510207
2021-04-11,6.674285714285714,0.4230769230769231,75.98955714285715,-15643.356681632664,0.0592056289494248,91978.87501649112,1215488.179426078,2437.6938775510203
2021-04-18,6.827857142857143,0.5,76.89428571428572,-16777.232131632667,0.0582520382934181,101565.18870040707,1690581.2491105,2504.2653061224487
2021-04-25,7.299285714285714,0.5384615384615384,76.89428571428572,-17179.712406122464,0.0595070593934808,110866.7522703418,2151788.9479352687,2454.0442176870747
2021-05-02,7.64,0.5769230769230769,76.44107142857142,-17083.7654479592,0.0519983839327823,122501.752780616,2740277.931619567,2406.1496598639455
2021-05-09,8.002857142857142,0.5769230769230769,75.92098571428572,-17299.086247959196,0.0523227190254928,132461.07492390173,3327705.9952773135,2458.312925170068
2021-05-16,8.638571428571428,0.5384615384615384,74.80305357142856,-19260.670713265317,0.05231165989702,140990.3513769106,2758950.227277902,2448.0102040816323
2021-05-23,9.241428571428573,0.5384615384615384,74.60952499999999,-21222.405913265316,0.0579394821159906,149043.19951576824,2116007.351292281,2458.659863945578
2021-05-30,9.148571428571428,0.5384615384615384,74.14622857142857,-23659.639236734703,0.0433833046812163,152830.42010101903,1510842.0530396746,2423.2482993197277
2021-06-06,8.877142857142857,0.5,73.70857142857143,-24916.7266867347,0.0428550972606898,156450.40192738548,894403.4630622278,2504.187074829932
2021-06-13,8.89,0.5,73.46234285714286,-25804.47181836736,0.0814809573294897,159168.34219587676,1395836.8783784602,2527.775510204082
