date,lme_price,lme_price_3features,lme_volume,bloomberg_metals_price,bloomberg_metals_change,ftse_index,ftse_index_change,sp_metals_price,sp_metals_change,mosexchange_price,mosexchange_change,baltic_dry_index,baltic_dry_index_change,usd_clp_price,usd_clp_change,usd_cny_price,usd_cny_change,usd_jpy_price,usd_jpy_change,usd_eur_price,usd_eur_change,usd_rub_price,usd_rub_change,dxy_price,dxy_change,chalco_price,chalco_volume,hongqiao_price,hongqiao_volume,norsk_hydro_price,norsk_hydro_volume,rusal_price,rusal_volume,alcoa_price,alcoa_volume,kaiser_price,kaiser_volume,australia_fed_rate_value,brazil_pmi_value,brazil_inflation_value,brazil_fed_rate_value,china_gdp_value,china_pmi_value,china_inflation_value,china_fed_rate_value,china_composite_pmi_value,peru_gdp_value,peru_fed_rate_value,peru_producer_price_index,peru_consumer_price_index,usa_gdp_value,usa_fed_rate_value,usa_inflation_value,usa_pmi_value,import_brazil_value,export_brazil_value,import_usa_value,export_usa_value,import_china_value,export_china_value,import_australia_value,export_australia_value
2021-02-19,2135.0,2150.5,1354150.0,147.86,2.05,16401.41,0.26,1867.4,4.28,10368.89,2.51,1698.0,-4.07,708.4,-0.33,6.4555,-0.48,105.43,-0.22,0.825,-0.24,74.1116,0.28,105.43,-0.22,3.37,62084508.0,9.75,13168976.0,43.98,5295958.0,4.2,16976400.0,23.129999,7262300.0,115.43,87000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,,,,,,,,,,10308.46,-0.58,,,,,,,,,,,74.0545,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,2153.5,2161.5,1349150.0,149.5,1.11,15991.27,-2.5,1956.5,4.77,10316.03,0.07,1709.0,0.65,706.6,-0.25,6.4625,0.11,105.06,-0.35,0.8225,-0.3,74.313,0.35,105.06,-0.35,3.88,168137452.0,10.44,57608520.0,45.029999,8234880.0,4.34,18446000.0,24.799999,9399500.0,119.290001,216000.0,,,,,,,,3.85,,,,,,,,,,,,,,,,,
2021-02-23,2136.5,2148.5,1343075.0,148.97,-0.36,15954.3,-0.23,1956.8,0.02,,,1727.0,1.05,704.33,-0.32,6.464,0.02,105.24,0.17,0.823,0.06,,,105.24,0.17,3.87,120127837.0,9.91,29567600.0,46.029999,6509417.0,4.4,8122000.0,24.9,6009800.0,118.559998,123100.0,,,,,,,,3.85,,,,,,,,,,,,,,,,,
2021-02-24,2145.5,2157.5,1337700.0,151.59,1.76,15565.24,-2.44,2027.0,3.59,10145.88,-1.65,1709.0,-1.04,700.75,-0.51,6.4556,-0.13,105.86,0.59,0.822,-0.12,73.5305,-1.05,105.86,0.59,3.54,90527180.0,9.53,31680677.0,47.639999,8733100.0,4.23,13750000.0,27.200001,8974300.0,121.5,354300.0,,,,,,,,3.85,,,,,,,,,,,,,,,,,
2021-02-25,2223.0,2227.0,1332525.0,151.75,0.11,15680.63,0.74,1907.7,-5.88,10180.77,0.34,1700.0,-0.53,715.78,2.14,6.4541,-0.02,106.21,0.33,0.8211,-0.11,74.7301,1.63,106.21,0.33,4.14,190431901.0,10.38,40840800.0,48.66,8185506.0,4.48,19215000.0,25.559999,8444400.0,117.07,165000.0,,,,,,,,3.85,,,,,,,,,,,,,,,,,
2021-02-26,2202.5,2202.5,1325875.0,146.17,-3.68,15255.2,-2.71,1830.9,-4.03,10149.11,-0.31,1675.0,-1.47,723.51,1.08,6.473,0.29,106.58,0.35,0.828,0.84,74.6196,-0.15,106.58,0.35,3.92,110897512.0,9.62,37279682.0,48.0,11276418.0,4.27,9079024.0,24.549999,6412700.0,114.099998,125900.0,,,,,,,,3.85,,,,,,,,,,,,,,,,,
2021-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6,5.2,2.0,,50.9,0.6,,51.7,,,112.81,94.54,,0.25,0.4,59.5,221577.0,70259.0,1700733.0,851665.0,528755.0,2107995.0,182761.0,351066.0
