date;alcoa_price;alcoa_volume
05.11.2020;13.3400000;378489
06.11.2020;14.2400000;265551
09.11.2020;15.5300000;826422
10.11.2020;15.8500000;319967
11.11.2020;16.1200000;340169
12.11.2020;15.4900000;266262
13.11.2020;15.9700000;308425
16.11.2020;17.2400000;332365
17.11.2020;17.2900000;258911
18.11.2020;18.3500000;330804
19.11.2020;18.2800000;229025
20.11.2020;18.8900000;257138
23.11.2020;19.2500000;301324
24.11.2020;20.2400000;309971
25.11.2020;20.5200000;304861
27.11.2020;20.5700000;157751
30.11.2020;20.3800000;297943
01.12.2020;20.7100000;416593
02.12.2020;21.4900000;290019
03.12.2020;22.7400000;462493
04.12.2020;22.3900000;336446
07.12.2020;23.4900000;481061
08.12.2020;23.0500000;222639
09.12.2020;23.9500000;309440
10.12.2020;22.8400000;273431
11.12.2020;23.5000000;223373
14.12.2020;23.3000000;316447
15.12.2020;22.2700000;173084
16.12.2020;22.0200000;187045
17.12.2020;22.3400000;356119
18.12.2020;22.1600000;198481
21.12.2020;21.2500000;238044
22.12.2020;22.1700000;108925
23.12.2020;21.9600000;144179
24.12.2020;22.3000000;57131
28.12.2020;22.3000000;180817
29.12.2020;22.2000000;161673
30.12.2020;22.0500000;158080
31.12.2020;22.8600000;160077
04.01.2021;23.6200000;228589
05.01.2021;23.3000000;200776
06.01.2021;24.4900000;303602
07.01.2021;25.6800000;233107
08.01.2021;25.2400000;150533
11.01.2021;23.9200000;113460
12.01.2021;24.7800000;111882
13.01.2021;25.0400000;102870
14.01.2021;25.2600000;90909
15.01.2021;24.0400000;203101
19.01.2021;23.8900000;161578
20.01.2021;23.4700000;137671
21.01.2021;21.0400000;522696
22.01.2021;19.3800000;260374
25.01.2021;19.2200000;219629
26.01.2021;19.6000000;168535
27.01.2021;18.7200000;313933
28.01.2021;19.1600000;347074
29.01.2021;18.6500000;245067
01.02.2021;18.3900000;283333
02.02.2021;19.0900000;301818
03.02.2021;19.1500000;301321
04.02.2021;19.9700000;229746
05.02.2021;20.6800000;146516
08.02.2021;21.3900000;322390
09.02.2021;21.7500000;228002
10.02.2021;21.6700000;173696
11.02.2021;21.5600000;153278
12.02.2021;21.0800000;94284
16.02.2021;22.1300000;184683
17.02.2021;22.3600000;198485
18.02.2021;21.9900000;142669
19.02.2021;21.5600000;338104
22.02.2021;23.3200000;437637
23.02.2021;24.0400000;214376
24.02.2021;25.3700000;371652
25.02.2021;27.5400000;336260
26.02.2021;24.3100000;260417
01.03.2021;25.5500000;179933
02.03.2021;26.2500000;285214
03.03.2021;28.7900000;667118
04.03.2021;29.5600000;317968
05.03.2021;29.2300000;284639
08.03.2021;29.6200000;171970
09.03.2021;28.6600000;318362
10.03.2021;30.3400000;394056
11.03.2021;32.3100000;213233
12.03.2021;31.8900000;169603
15.03.2021;31.4900000;113127
16.03.2021;30.7500000;154282
17.03.2021;30.1900000;204573
18.03.2021;31.8000000;221548
19.03.2021;31.1300000;191867
22.03.2021;31.2600000;115999
23.03.2021;28.6200000;316997
24.03.2021;29.4400000;350158
25.03.2021;28.0300000;198917
26.03.2021;30.6500000;446085
29.03.2021;32.4300000;255492
30.03.2021;32.2200000;238510
31.03.2021;33.6500000;184413
01.04.2021;32.3550000;198629
05.04.2021;32.7300000;144496
06.04.2021;31.6600000;191191
07.04.2021;31.4300000;134430
08.04.2021;31.8400000;149759
09.04.2021;31.1700000;156720
12.04.2021;31.5950000;135956
13.04.2021;31.9200000;162360
14.04.2021;31.8600000;295413
15.04.2021;33.4800000;240966
16.04.2021;33.9300000;548656
19.04.2021;35.5000000;369393
20.04.2021;35.5800000;334227
21.04.2021;32.6100000;250739
22.04.2021;34.2600000;190940
23.04.2021;33.9800000;199696
26.04.2021;35.0500000;390199
27.04.2021;36.3200000;269009
28.04.2021;36.5300000;132679
29.04.2021;37.0000000;188384
30.04.2021;36.4900000;179339
03.05.2021;37.1800000;164839
04.05.2021;38.0200000;209737
