date;rual_price;rual_volume;rual_price_change
22.11.2021;67,62;55,00M;-3,67%
19.11.2021;70,195;41,32M;-2,26%
18.11.2021;71,815;34,55M;-1,84%
17.11.2021;73,16;23,31M;0,99%
16.11.2021;72,44;30,37M;1,03%
15.11.2021;71,7;35,22M;-3,12%
12.11.2021;74,01;65,25M;-0,55%
11.11.2021;74,42;39,35M;3,86%
10.11.2021;71,655;32,86M;-2,42%
09.11.2021;73,435;74,91M;6,16%
08.11.2021;69,175;29,45M;1,88%
05.11.2021;67,9;44,03M;-3,93%
03.11.2021;70,675;24,30M;-0,73%
02.11.2021;71,195;25,21M;-2,05%
01.11.2021;72,685;40,05M;1,37%
29.10.2021;71,705;42,93M;-3,71%
28.10.2021;74,465;76,32M;0,06%
27.10.2021;74,42;48,18M;-4,82%
26.10.2021;78,185;24,48M;-1,46%
25.10.2021;79,345;24,51M;2,28%
22.10.2021;77,58;29,20M;-1,32%
21.10.2021;78,62;41,51M;-3,34%
20.10.2021;81,335;53,46M;1,70%
19.10.2021;79,975;84,02M;-4,12%
18.10.2021;83,415;56,87M;0,01%
15.10.2021;83,41;42,20M;5,58%
14.10.2021;79;32,97M;4,06%
13.10.2021;75,915;25,36M;-0,39%
12.10.2021;76,21;27,95M;-1,03%
11.10.2021;77;43,26M;3,62%
08.10.2021;74,31;40,25M;2,50%
07.10.2021;72,5;26,45M;3,39%
06.10.2021;70,125;16,32M;-0,88%
05.10.2021;70,75;15,53M;1,22%
04.10.2021;69,9;15,37M;-2,17%
01.10.2021;71,45;18,13M;2,30%
30.09.2021;69,845;18,57M;0,19%
29.09.2021;69,715;14,77M;-0,30%
28.09.2021;69,925;20,13M;-2,77%
27.09.2021;71,92;33,51M;-1,74%
24.09.2021;73,195;20,52M;-0,95%
23.09.2021;73,9;30,06M;0,52%
22.09.2021;73,52;47,56M;3,08%
21.09.2021;71,32;30,04M;3,35%
20.09.2021;69,005;38,64M;-4,55%
17.09.2021;72,295;72,34M;5,41%
16.09.2021;68,585;48,87M;-3,39%
15.09.2021;70,995;45,82M;0,33%
14.09.2021;70,76;68,84M;-2,09%
13.09.2021;72,27;104,88M;0,19%
10.09.2021;72,13;90,82M;6,25%
09.09.2021;67,89;93,22M;-2,60%
08.09.2021;69,7;123,86M;10,79%
07.09.2021;62,91;36,70M;2,17%
06.09.2021;61,575;128,97M;-1,32%
03.09.2021;62,4;86,36M;10,08%
02.09.2021;56,685;69,37M;3,64%
01.09.2021;54,695;26,33M;3,14%
31.08.2021;53,03;19,28M;2,26%
30.08.2021;51,86;11,84M;0,61%
27.08.2021;51,545;11,63M;1,92%
26.08.2021;50,575;17,82M;-3,01%
25.08.2021;52,145;10,81M;0,69%
24.08.2021;51,79;19,00M;1,26%
23.08.2021;51,145;19,76M;4,84%
20.08.2021;48,785;10,33M;-0,66%
19.08.2021;49,11;22,84M;-2,69%
18.08.2021;50,465;19,85M;-1,67%
17.08.2021;51,32;16,31M;-1,32%
16.08.2021;52,005;11,78M;-0,62%
13.08.2021;52,33;21,79M;-3,81%
12.08.2021;54,405;10,40M;0,84%
11.08.2021;53,95;9,21M;0,27%
10.08.2021;53,805;20,59M;1,24%
09.08.2021;53,145;17,41M;3,70%
06.08.2021;51,25;7,69M;-0,98%
05.08.2021;51,755;7,02M;0,84%
04.08.2021;51,325;7,46M;-0,99%
03.08.2021;51,84;23,02M;-0,99%
02.08.2021;52,36;14,25M;0,77%
30.07.2021;51,96;19,48M;-0,58%
29.07.2021;52,265;26,63M;3,15%
28.07.2021;50,67;12,56M;3,40%
27.07.2021;49,005;8,11M;-0,80%
26.07.2021;49,4;8,41M;-0,41%
23.07.2021;49,605;17,41M;4,02%
22.07.2021;47,69;6,07M;0,93%
21.07.2021;47,25;12,91M;-1,52%
20.07.2021;47,98;9,30M;1,28%
19.07.2021;47,375;12,97M;-3,23%
16.07.2021;48,955;7,30M;-1,65%
15.07.2021;49,775;5,97M;-0,51%
14.07.2021;50,03;19,19M;0,36%
13.07.2021;49,85;11,42M;-1,06%
12.07.2021;50,385;14,95M;1,71%
09.07.2021;49,54;8,40M;1,16%
08.07.2021;48,97;13,77M;-1,28%
07.07.2021;49,605;12,63M;1,44%
06.07.2021;48,9;13,60M;-1,88%
05.07.2021;49,835;22,94M;1,50%
02.07.2021;49,1;10,25M;-0,83%
01.07.2021;49,51;22,30M;-0,17%
30.06.2021;49,595;53,72M;3,05%
29.06.2021;48,125;57,03M;-1,77%
28.06.2021;48,99;43,16M;-3,36%
25.06.2021;50,695;43,11M;-3,63%
24.06.2021;52,605;100,82M;-6,67%
23.06.2021;56,365;30,51M;1,82%
22.06.2021;55,355;26,38M;3,74%
21.06.2021;53,36;26,76M;-0,28%
18.06.2021;53,51;23,17M;-2,19%
17.06.2021;54,71;16,12M;-2,56%
16.06.2021;56,15;11,87M;-0,63%
15.06.2021;56,505;7,55M;-0,72%
14.06.2021;56,915;5,21M;0,47%
11.06.2021;56,65;6,24M;-0,88%
10.06.2021;57,155;4,05M;-0,69%
09.06.2021;57,55;10,61M;-0,25%
08.06.2021;57,695;18,38M;0,72%
07.06.2021;57,28;8,29M;-0,19%
04.06.2021;57,39;7,75M;0,83%
03.06.2021;56,92;9,75M;-1,69%
02.06.2021;57,9;9,74M;0,60%
01.06.2021;57,555;13,06M;-0,22%
31.05.2021;57,68;12,28M;1,34%
28.05.2021;56,92;13,29M;0,74%
27.05.2021;56,5;17,92M;1,47%
26.05.2021;55,68;8,78M;1,92%
25.05.2021;54,63;6,75M;-1,45%
24.05.2021;55,435;9,46M;-1,96%
21.05.2021;56,545;21,29M;3,18%
20.05.2021;54,8;33,15M;-1,03%
19.05.2021;55,37;32,22M;-2,67%
18.05.2021;56,89;27,27M;-0,63%
17.05.2021;57,25;20,11M;0,41%
14.05.2021;57,015;13,03M;0,95%
13.05.2021;56,48;19,73M;0,70%
12.05.2021;56,09;18,77M;-0,70%
11.05.2021;56,485;26,65M;-0,31%
10.05.2021;56,66;31,04M;1,36%
07.05.2021;55,9;33,94M;3,71%
06.05.2021;53,9;16,84M;2,69%
05.05.2021;52,49;13,39M;-0,21%
04.05.2021;52,6;20,53M;3,85%
30.04.2021;50,65;18,19M;-2,76%
29.04.2021;52,09;17,66M;-0,79%
28.04.2021;52,505;8,87M;-0,98%
27.04.2021;53,025;15,49M;-2,96%
26.04.2021;54,64;10,04M;0,81%
23.04.2021;54,2;9,93M;1,31%
22.04.2021;53,5;13,97M;-0,73%
21.04.2021;53,895;22,46M;3,96%
20.04.2021;51,84;23,51M;-3,24%
19.04.2021;53,575;24,65M;-2,84%
16.04.2021;55,14;33,02M;-0,14%
15.04.2021;55,215;30,74M;3,57%
14.04.2021;53,31;44,97M;2,49%
