"Date","Price","Open","High","Low","Vol.","Change %"
"07/13/2023","2,690.4","2,665.6","2,703.8","2,665.6","","0.93%"
"07/12/2023","2,665.6","2,634.4","2,706.0","2,634.4","","1.19%"
"07/11/2023","2,634.4","2,616.3","2,638.2","2,609.6","","0.69%"
"07/10/2023","2,616.3","2,589.0","2,622.1","2,567.4","","1.06%"
"07/07/2023","2,589.0","2,537.9","2,618.6","2,537.9","","2.01%"
"07/06/2023","2,537.9","2,583.7","2,583.7","2,504.6","","-1.77%"
"07/05/2023","2,583.7","2,630.5","2,630.5","2,582.9","","-1.78%"
"07/03/2023","2,630.5","2,602.4","2,645.1","2,602.4","","1.08%"
"06/30/2023","2,602.4","2,591.4","2,614.2","2,580.8","","0.43%"
"06/29/2023","2,591.4","2,539.2","2,592.7","2,534.5","","2.06%"
"06/28/2023","2,539.2","2,547.2","2,547.2","2,511.6","","-0.31%"
"06/27/2023","2,547.2","2,513.3","2,551.4","2,503.7","","1.35%"
"06/26/2023","2,513.3","2,495.0","2,538.5","2,495.0","","0.73%"
"06/23/2023","2,495.0","2,530.8","2,530.8","2,491.0","","-1.41%"
"06/22/2023","2,530.8","2,546.7","2,546.7","2,502.2","","-0.63%"
"06/21/2023","2,546.7","2,526.6","2,558.1","2,509.2","","0.80%"
"06/20/2023","2,526.6","2,536.9","2,536.9","2,496.6","","-0.48%"
"06/16/2023","2,538.8","2,554.8","2,561.2","2,518.3","","-0.63%"
"06/15/2023","2,554.8","2,511.6","2,558.3","2,498.5","","1.72%"
"06/14/2023","2,511.6","2,537.9","2,577.4","2,490.7","","-0.98%"
"06/13/2023","2,536.4","2,469.8","2,544.7","2,469.8","","2.70%"
"06/12/2023","2,469.8","2,467.5","2,483.4","2,437.5","","0.09%"
"06/09/2023","2,467.5","2,490.8","2,490.8","2,459.6","","-0.93%"
"06/08/2023","2,490.8","2,495.3","2,519.9","2,472.9","","-0.18%"
"06/07/2023","2,495.3","2,463.8","2,522.6","2,463.8","","1.28%"
"06/06/2023","2,463.8","2,406.6","2,466.2","2,390.9","","2.38%"
"06/05/2023","2,406.6","2,426.0","2,427.5","2,377.6","","-0.80%"
"06/02/2023","2,426.0","2,328.3","2,431.9","2,328.3","","4.20%"
"06/01/2023","2,328.3","2,273.3","2,338.1","2,273.3","","2.42%"
"05/31/2023","2,273.3","2,288.5","2,288.5","2,255.7","","-0.66%"
"05/30/2023","2,288.5","2,332.6","2,332.6","2,277.8","","-1.89%"
"05/26/2023","2,332.6","2,328.5","2,356.7","2,319.2","","0.17%"
"05/25/2023","2,328.5","2,347.2","2,347.2","2,310.5","","-0.80%"
"05/24/2023","2,347.2","2,407.3","2,407.3","2,332.9","","-2.49%"
"05/23/2023","2,407.3","2,423.3","2,424.2","2,377.9","","-0.66%"
