date;chalco_price;chalco_adj;chalco_volume
18.09.2019;2.770000;2.618267;10127047
19.09.2019;2.700000;2.549879;12100000
20.09.2019;2.630000;2.579188;17875129
23.09.2019;2.610000;2.442413;28150000
24.09.2019;2.520000;2.471722;18435000
25.09.2019;2.520000;2.442413;12934481
26.09.2019;2.510000;2.432643;6399994
27.09.2019;2.480000;2.413104;11586115
30.09.2019;2.480000;2.413104;10086147
02.10.2019;2.470000;2.393565;7827000
03.10.2019;2.430000;2.383795;8270560
04.10.2019;2.440000;2.374025;9229467
08.10.2019;2.450000;2.403334;10336583
09.10.2019;2.430000;2.383795;10213863
10.10.2019;2.430000;2.422874;8879999
11.10.2019;2.500000;2.481491;15190545
14.10.2019;2.540000;2.471722;16116226
15.10.2019;2.540000;2.461952;9002000
16.10.2019;2.510000;2.432643;6322880
17.10.2019;2.490000;2.452183;6375243
18.10.2019;2.510000;2.413104;5542478
21.10.2019;2.450000;2.442413;6634488
22.10.2019;2.500000;2.422874;5965235
23.10.2019;2.480000;2.393565;9908000
24.10.2019;2.450000;2.442413;10493170
25.10.2019;2.490000;2.432643;3543000
28.10.2019;2.490000;2.383795;9958208
29.10.2019;2.470000;2.393565;16791640
31.10.2019;2.390000;2.276329;17075361
01.11.2019;2.350000;2.295868;7381269
04.11.2019;2.360000;2.461952;31773345
05.11.2019;2.520000;2.501031;24773123
06.11.2019;2.540000;2.501031;7567634
07.11.2019;2.570000;2.491261;10094920
08.11.2019;2.570000;2.501031;9510801
11.11.2019;2.550000;2.461952;9113139
12.11.2019;2.500000;2.432643;7877504
13.11.2019;2.460000;2.383795;9912307
14.11.2019;2.440000;2.344717;7445675
15.11.2019;2.440000;2.315407;8608775
18.11.2019;2.380000;2.315407;9074000
19.11.2019;2.370000;2.286098;17771853
20.11.2019;2.340000;2.315407;17656242
21.11.2019;2.350000;2.315407;8846000
22.11.2019;2.360000;2.315407;9889850
25.11.2019;2.390000;2.383795;17190000
26.11.2019;2.470000;2.403334;26684041
27.11.2019;2.450000;2.403334;5933500
28.11.2019;2.450000;2.383795;3390000
29.11.2019;2.420000;2.344717;12269270
02.12.2019;2.360000;2.315407;8686735
03.12.2019;2.340000;2.344717;5895310
04.12.2019;2.400000;2.325177;6741630
05.12.2019;2.400000;2.325177;4568233
06.12.2019;2.410000;2.374025;10134392
09.12.2019;2.430000;2.403334;5523272
10.12.2019;2.440000;2.461952;16148177
11.12.2019;2.510000;2.442413;8682331
12.12.2019;2.520000;2.471722;14483098
13.12.2019;2.600000;2.510800;13846000
16.12.2019;2.580000;2.481491;5358863
17.12.2019;2.570000;2.549879;11967672
18.12.2019;2.590000;2.520570;9101000
19.12.2019;2.570000;2.510800;5944591
20.12.2019;2.580000;2.530340;8628000
23.12.2019;2.590000;2.501031;5598480
24.12.2019;2.550000;2.501031;5228000
27.12.2019;2.620000;2.540109;25957942
30.12.2019;2.580000;2.628036;16901248
31.12.2019;2.670000;2.608497;5540300
02.01.2020;2.700000;2.706193;20989868
03.01.2020;2.800000;2.715963;23271279
06.01.2020;2.780000;2.647576;21976289
07.01.2020;2.740000;2.608497;14132921
08.01.2020;2.650000;2.549879;17094192
09.01.2020;2.640000;2.559649;5954400
10.01.2020;2.630000;2.530340;10140912
13.01.2020;2.610000;2.540109;7735873
14.01.2020;2.600000;2.608497;22117416
15.01.2020;2.690000;2.618267;15363139
16.01.2020;2.700000;2.559649;16069130
17.01.2020;2.640000;2.579188;8635096
20.01.2020;2.660000;2.540109;8666011
21.01.2020;2.600000;2.422874;25764000
22.01.2020;2.520000;2.413104;9270100
23.01.2020;2.450000;2.364256;16026256
24.01.2020;2.430000;2.344717;8814000
29.01.2020;2.340000;2.276329;11140774
30.01.2020;2.330000;2.247020;20886000
31.01.2020;2.320000;2.247020;13745016
03.02.2020;2.230000;2.198172;20654104
04.02.2020;2.270000;2.178632;21780623
05.02.2020;2.240000;2.178632;20914000
06.02.2020;2.280000;2.227480;45139120
07.02.2020;2.290000;2.207941;14791328
10.02.2020;2.260000;2.198172;10800000
11.02.2020;2.260000;2.198172;38001075
12.02.2020;2.250000;2.217711;40125081
13.02.2020;2.280000;2.207941;24662000
14.02.2020;2.250000;2.198172;24862000
17.02.2020;2.250000;2.237250;26282500
18.02.2020;2.280000;2.217711;19518520
