"Date","Price","Open","High","Low","Vol.","Change %"
"09/12/2023","9,846.38","9,846.38","9,846.38","9,846.38","","-0.24%"
"09/11/2023","9,870.52","9,870.52","9,870.52","9,870.52","","1.63%"
"09/08/2023","9,712.06","9,712.06","9,712.06","9,712.06","","-0.72%"
"09/07/2023","9,782.48","9,782.48","9,782.48","9,782.48","","-1.63%"
"09/06/2023","9,944.52","9,944.52","9,944.52","9,944.52","","-0.38%"
"09/05/2023","9,982.03","9,982.03","9,982.03","9,982.03","","-1.11%"
"09/04/2023","10,093.80","10,093.80","10,093.80","10,093.80","","1.40%"
"09/01/2023","9,954.28","9,954.28","9,954.28","9,954.28","","0.96%"
"08/31/2023","9,859.73","9,859.73","9,859.73","9,859.73","","-0.54%"
"08/30/2023","9,913.46","9,913.46","9,913.46","9,913.46","","-0.08%"
"08/29/2023","9,921.33","9,921.33","9,921.33","9,921.33","","1.13%"
"08/28/2023","9,810.63","9,810.63","9,810.63","9,810.63","","1.08%"
"08/25/2023","9,705.83","9,705.83","9,705.83","9,705.83","","-0.66%"
"08/24/2023","9,770.12","9,770.12","9,770.12","9,770.12","","0.79%"
"08/23/2023","9,693.83","9,693.83","9,693.83","9,693.83","","-1.64%"
"08/22/2023","9,855.70","9,855.70","9,855.70","9,855.70","","1.07%"
"08/21/2023","9,751.54","9,751.54","9,751.54","9,751.54","","-1.81%"
"08/18/2023","9,931.51","9,931.51","9,931.51","9,931.51","","-1.03%"
"08/17/2023","10,034.65","10,034.65","10,034.65","10,034.65","","0.23%"
"08/16/2023","10,011.40","10,011.40","10,011.40","10,011.40","","-0.92%"
"08/15/2023","10,104.33","10,104.33","10,104.33","10,104.33","","-0.54%"
"08/14/2023","10,158.78","10,158.78","10,158.78","10,158.78","","-1.01%"
"08/11/2023","10,262.44","10,262.44","10,262.44","10,262.44","","-2.49%"
"08/10/2023","10,524.69","10,524.69","10,524.69","10,524.69","","0.18%"
"08/09/2023","10,506.00","10,506.00","10,506.00","10,506.00","","-0.32%"
"08/08/2023","10,539.29","10,539.29","10,539.29","10,539.29","","-0.50%"
"08/07/2023","10,592.37","10,592.37","10,592.37","10,592.37","","-0.85%"
"08/04/2023","10,683.39","10,683.39","10,683.39","10,683.39","","0.48%"
"08/03/2023","10,632.34","10,632.34","10,632.34","10,632.34","","0.63%"
"08/02/2023","10,566.05","10,566.05","10,566.05","10,566.05","","-0.92%"
"08/01/2023","10,663.80","10,663.80","10,663.80","10,663.80","","-0.49%"
"07/31/2023","10,716.56","10,716.56","10,716.56","10,716.56","","0.68%"
"07/28/2023","10,644.04","10,644.04","10,644.04","10,644.04","","1.88%"
"07/27/2023","10,447.16","10,447.16","10,447.16","10,447.16","","-0.07%"
"07/26/2023","10,454.88","10,454.88","10,454.88","10,454.88","","-0.36%"
"07/25/2023","10,492.39","10,492.39","10,492.39","10,492.39","","3.38%"
"07/24/2023","10,149.51","10,149.51","10,149.51","10,149.51","","-0.78%"
"07/21/2023","10,229.55","10,229.55","10,229.55","10,229.55","","0.26%"
"07/20/2023","10,203.35","10,203.35","10,203.35","10,203.35","","-0.32%"
"07/19/2023","10,235.93","10,235.93","10,235.93","10,235.93","","-0.74%"
"07/18/2023","10,311.99","10,311.99","10,311.99","10,311.99","","-0.34%"
"07/17/2023","10,346.90","10,346.90","10,346.90","10,346.90","","-1.27%"
"07/14/2023","10,480.21","10,480.21","10,480.21","10,480.21","","0.37%"
"07/13/2023","10,441.55","10,441.55","10,441.55","10,441.55","","1.86%"
"07/12/2023","10,250.99","10,250.99","10,250.99","10,250.99","","-0.73%"
"07/11/2023","10,326.84","10,326.84","10,326.84","10,326.84","","1.17%"
"07/10/2023","10,207.17","10,207.17","10,207.17","10,207.17","","0.60%"
"07/07/2023","10,146.36","10,146.36","10,146.36","10,146.36","","-0.34%"
"07/06/2023","10,181.18","10,181.18","10,181.18","10,181.18","","-0.72%"
"07/05/2023","10,255.47","10,255.47","10,255.47","10,255.47","","-1.14%"
"07/04/2023","10,374.18","10,374.18","10,374.18","10,374.18","","0.67%"
"07/03/2023","10,304.88","10,304.88","10,304.88","10,304.88","","1.32%"
"06/30/2023","10,171.09","10,171.09","10,171.09","10,171.09","","0.51%"
"06/29/2023","10,119.82","10,119.82","10,119.82","10,119.82","","-0.70%"
"06/28/2023","10,191.18","10,191.18","10,191.18","10,191.18","","-0.36%"
"06/27/2023","10,228.20","10,228.20","10,228.20","10,228.20","","1.15%"
"06/26/2023","10,112.18","10,112.18","10,112.18","10,112.18","","-1.90%"
"06/21/2023","10,307.81","10,307.81","10,307.81","10,307.81","","-1.97%"
"06/20/2023","10,515.28","10,515.28","10,515.28","10,515.28","","-0.46%"
"06/19/2023","10,563.89","10,563.89","10,563.89","10,563.89","","-1.28%"
"06/16/2023","10,701.40","10,701.40","10,701.40","10,701.40","","1.51%"
"06/15/2023","10,542.30","10,542.30","10,542.30","10,542.30","","1.64%"
"06/14/2023","10,372.58","10,372.58","10,372.58","10,372.58","","-0.05%"
"06/13/2023","10,378.00","10,378.00","10,378.00","10,378.00","","0.14%"
"06/12/2023","10,363.70","10,363.70","10,363.70","10,363.70","","-0.02%"
"06/09/2023","10,365.52","10,365.52","10,365.52","10,365.52","","0.75%"
"06/08/2023","10,288.71","10,288.71","10,288.71","10,288.71","","0.47%"
"06/07/2023","10,240.61","10,240.61","10,240.61","10,240.61","","-0.71%"
"06/06/2023","10,313.44","10,313.44","10,313.44","10,313.44","","-1.00%"
"06/05/2023","10,417.76","10,417.76","10,417.76","10,417.76","","-0.99%"
"06/02/2023","10,521.41","10,521.41","10,521.41","10,521.41","","1.85%"
"06/01/2023","10,330.60","10,330.60","10,330.60","10,330.60","","-0.05%"
"05/31/2023","10,335.93","10,335.93","10,335.93","10,335.93","","-1.04%"
"05/30/2023","10,444.97","10,444.97","10,444.97","10,444.97","","-0.27%"
"05/29/2023","10,472.77","10,472.77","10,472.77","10,472.77","","-0.55%"
"05/26/2023","10,530.30","10,530.30","10,530.30","10,530.30","","0.31%"
"05/25/2023","10,497.62","10,497.62","10,497.62","10,497.62","","-0.45%"
"05/24/2023","10,545.56","10,545.56","10,545.56","10,545.56","","-1.23%"
"05/23/2023","10,677.13","10,677.13","10,677.13","10,677.13","","-1.69%"
"05/22/2023","10,860.64","10,860.64","10,860.64","10,860.64","","0.72%"
"05/19/2023","10,783.24","10,783.24","10,783.24","10,783.24","","-0.51%"
"05/18/2023","10,838.34","10,838.34","10,838.34","10,838.34","","-0.47%"
"05/17/2023","10,889.30","10,889.30","10,889.30","10,889.30","","-0.81%"
"05/16/2023","10,978.31","10,978.31","10,978.31","10,978.31","","-0.67%"
"05/15/2023","11,051.98","11,051.98","11,051.98","11,051.98","","1.41%"
"05/12/2023","10,898.51","10,898.51","10,898.51","10,898.51","","-1.36%"
"05/11/2023","11,048.66","11,048.66","11,048.66","11,048.66","","-0.26%"
"05/10/2023","11,077.17","11,077.17","11,077.17","11,077.17","","-0.80%"
"05/09/2023","11,166.93","11,166.93","11,166.93","11,166.93","","-0.83%"
"05/08/2023","11,260.83","11,260.83","11,260.83","11,260.83","","0.89%"
"05/05/2023","11,161.32","11,161.32","11,161.32","11,161.32","","-0.45%"
"05/04/2023","11,211.91","11,211.91","11,211.91","11,211.91","","0.22%"
"04/28/2023","11,187.54","11,187.54","11,187.54","11,187.54","","0.87%"
"04/27/2023","11,091.22","11,091.22","11,091.22","11,091.22","","0.71%"
"04/26/2023","11,013.29","11,013.29","11,013.29","11,013.29","","0.06%"
"04/25/2023","11,006.33","11,006.33","11,006.33","11,006.33","","-0.68%"
"04/24/2023","11,081.28","11,081.28","11,081.28","11,081.28","","-1.24%"
"04/21/2023","11,220.67","11,220.67","11,220.67","11,220.67","","-2.13%"
"04/20/2023","11,464.77","11,464.77","11,464.77","11,464.77","","-0.36%"
