date;hongqiao_price;hongqiao_adj;hongqiao_volume
29.07.2019;5.870000;3.985857;4793388
30.07.2019;5.800000;3.985857;2501500
31.07.2019;5.700000;4.006761;4004500
01.08.2019;5.570000;3.888300;7558867
02.08.2019;5.380000;3.790745;4757860
05.08.2019;5.550000;3.707126;3589000
06.08.2019;5.220000;3.658347;4425116
07.08.2019;5.320000;3.651379;3327808
08.08.2019;5.290000;3.679252;1817742
09.08.2019;5.240000;3.658347;2374443
12.08.2019;5.300000;3.623506;2079500
13.08.2019;5.300000;3.574728;7038500
14.08.2019;5.100000;3.491109;4092061
15.08.2019;4.970000;3.518982;3198500
16.08.2019;5.100000;3.512014;3171604
19.08.2019;5.010000;3.588665;3687939
20.08.2019;5.070000;3.700157;6875933
21.08.2019;5.370000;3.734999;3586158
22.08.2019;5.350000;3.693189;5498500
23.08.2019;5.300000;3.748935;3306800
26.08.2019;5.180000;3.651379;3426862
27.08.2019;5.130000;3.637442;10893940
28.08.2019;5.160000;3.609570;2985500
29.08.2019;5.110000;3.574728;2780500
30.08.2019;5.100000;3.581697;4599900
02.09.2019;5.100000;3.553823;4634500
03.09.2019;5.150000;3.553823;3423800
04.09.2019;5.030000;3.560792;4823148
05.09.2019;5.110000;3.609570;5821414
06.09.2019;5.220000;3.700157;8498451
09.09.2019;5.400000;3.707126;5273270
10.09.2019;5.340000;3.734999;3938500
11.09.2019;5.280000;3.769840;2888959
12.09.2019;5.390000;3.797713;2638000
13.09.2019;5.310000;3.839523;1875500
16.09.2019;5.480000;3.721062;11819800
17.09.2019;5.260000;3.630474;7356349
18.09.2019;5.200000;3.658347;2957000
19.09.2019;5.200000;3.595633;2643360
20.09.2019;5.110000;3.616538;5082000
23.09.2019;5.130000;3.574728;3461559
24.09.2019;5.130000;3.532918;3608400
25.09.2019;5.020000;3.484141;3517899
26.09.2019;5.070000;3.449299;4871500
27.09.2019;5.020000;3.463235;2204011
30.09.2019;5.020000;3.491109;2028187
02.10.2019;4.810000;3.421426;2758000
03.10.2019;4.890000;3.379616;3290500
04.10.2019;4.910000;3.379616;2482183
08.10.2019;4.850000;3.393553;2362200
09.10.2019;4.850000;3.379616;4030960
10.10.2019;4.910000;3.414458;6373000
11.10.2019;4.910000;3.414458;1702000
14.10.2019;4.980000;3.414458;1737000
15.10.2019;4.950000;3.386585;1950000
16.10.2019;4.810000;3.337806;3764027
17.10.2019;4.850000;3.351743;3118352
18.10.2019;4.750000;3.309934;6180500
21.10.2019;4.750000;3.309934;1378000
22.10.2019;4.780000;3.309934;1595013
23.10.2019;4.700000;3.268124;4369500
24.10.2019;4.700000;3.268124;1968152
25.10.2019;4.700000;3.247219;1799500
28.10.2019;4.650000;3.219346;2762000
29.10.2019;4.600000;3.170568;4632211
31.10.2019;4.480000;3.038171;6752000
01.11.2019;4.320000;3.066044;4812000
04.11.2019;4.410000;3.066044;6742206
05.11.2019;4.400000;3.107853;7002700
06.11.2019;4.420000;3.114821;4061500
07.11.2019;4.450000;3.114821;3576065
08.11.2019;4.470000;3.142695;4411706
11.11.2019;4.480000;3.052107;3424000
